last_name,first_name,middle_name,suffix,nickname,full_name,birthday,gender,type,state,district,senate_class,party,url,address,phone,contact_form,rss_url,twitter,twitter_id,facebook,youtube,youtube_id,mastodon,bioguide_id,thomas_id,opensecrets_id,lis_id,fec_ids,cspan_id,govtrack_id,votesmart_id,ballotpedia_id,washington_post_id,icpsr_id,wikipedia_id
Cantwell,Maria,,,,Maria Cantwell,1958-10-13,F,sen,WA,,1,Democrat,https://www.cantwell.senate.gov,511 Hart Senate Office Building Washington DC 20510,202-224-3441,https://www.cantwell.senate.gov/public/index.cfm/email-maria,http://www.cantwell.senate.gov/public/index.cfm/rss/feed,SenatorCantwell,117501995,senatorcantwell,SenatorCantwell,UCN52UDqKgvHRk39ncySrIMw,,C000127,00172,N00007836,S275,"S8WA00194,H2WA01054",26137,300018,27122,Maria Cantwell,,39310,Maria Cantwell
Klobuchar,Amy,Jean,,,Amy Klobuchar,1960-05-25,F,sen,MN,,1,Democrat,https://www.klobuchar.senate.gov,425 Dirksen Senate Office Building Washington DC 20510,202-224-3244,https://www.klobuchar.senate.gov/public/index.cfm/contact,,SenAmyKlobuchar,22044727,,senatorklobuchar,UCvdeJsDsV51tFb_hVqvtYGA,,K000367,01826,N00027500,S311,S6MN00267,83701,412242,65092,Amy Klobuchar,,40700,Amy Klobuchar
Sanders,Bernard,,,Bernie,Bernard Sanders,1941-09-08,M,sen,VT,,1,Independent,https://www.sanders.senate.gov,332 Dirksen Senate Office Building Washington DC 20510,202-224-5141,https://www.sanders.senate.gov/contact/,http://www.sanders.senate.gov/rss/,SenSanders,29442313,senatorsanders,senatorsanders,UCD_DaKNac0Ta-2PeHuoQ1uA,,S000033,01010,N00000528,S313,"H8VT01016,S4VT00033",994,400357,27110,Bernie Sanders,,29147,Bernie Sanders
Whitehouse,Sheldon,,,,Sheldon Whitehouse,1955-10-20,M,sen,RI,,1,Democrat,https://www.whitehouse.senate.gov,530 Hart Senate Office Building Washington DC 20510,202-224-2921,https://www.whitehouse.senate.gov/contact/email-sheldon,http://www.whitehouse.senate.gov/rss/feeds/?type=all&amp;cachebuster=1,SenWhitehouse,242555999,SenatorWhitehouse,SenatorWhitehouse,UCnG0N70SNBkNqvIMLodPTIA,,W000802,01823,N00027533,S316,S6RI00221,92235,412247,2572,Sheldon Whitehouse,,40704,Sheldon Whitehouse
Barrasso,John,A.,,,John Barrasso,1952-07-21,M,sen,WY,,1,Republican,https://www.barrasso.senate.gov,307 Dirksen Senate Office Building Washington DC 20510,202-224-6441,https://www.barrasso.senate.gov/public/index.cfm/contact-form,http://www.barrasso.senate.gov/public/index.cfm?FuseAction=Rss.Feed,SenJohnBarrasso,202206694,johnbarrasso,barrassowyo,UC80PfiCAB2Fe1MFayWlR6GQ,,B001261,01881,N00006236,S317,S6WY00068,1024777,412251,52662,John Barrasso,,40707,John Barrasso
Wicker,Roger,F.,,,Roger F. Wicker,1951-07-05,M,sen,MS,,1,Republican,https://www.wicker.senate.gov,425 Russell Senate Office Building Washington DC 20510,202-224-6253,https://www.wicker.senate.gov/public/index.cfm/contact,,SenatorWicker,264219447,SenatorWicker,SenatorWicker,UCIlKHiTjSkcQP_knBcXHWSg,,W000437,01226,N00003280,S318,"H4MS01078,S8MS00196",18203,400432,21926,Roger Wicker,,29534,Roger Wicker
Collins,Susan,M.,,,Susan M. Collins,1952-12-07,F,sen,ME,,2,Republican,https://www.collins.senate.gov,413 Dirksen Senate Office Building Washington DC 20510,202-224-2523,https://www.collins.senate.gov/contact,http://www.collins.senate.gov/public/?a=rss.feed,SenatorCollins,19726613,susancollins,SenatorSusanCollins,UC6GYaBx5kT2r4PN8KENxC-w,,C001035,01541,N00000491,S252,S6ME00159,45738,300025,379,Susan Collins,,49703,Susan Collins
Cornyn,John,,,,John Cornyn,1952-02-02,M,sen,TX,,2,Republican,https://www.cornyn.senate.gov,517 Hart Senate Office Building Washington DC 20510,202-224-2934,https://www.cornyn.senate.gov/contact,http://www.cornyn.senate.gov/public/?a=rss.feed,JohnCornyn,13218102,sen.johncornyn,senjohncornyn,UCyQwLQavlOaJ64YuY_VMtiQ,,C001056,01692,N00024852,S287,S2TX00106,93131,300027,15375,John Cornyn,,40305,John Cornyn
Durbin,Richard,J.,,,Richard J. Durbin,1944-11-21,M,sen,IL,,2,Democrat,https://www.durbin.senate.gov,711 Hart Senate Office Building Washington DC 20510,202-224-2152,https://www.durbin.senate.gov/contact/,http://durbin.senate.gov/public/index.cfm/rss/feed,SenatorDurbin,247334603,SenatorDurbin,SenatorDurbin,UCkbixlNCxcKAffEhe3X5-lw,,D000563,00326,N00004981,S253,"S6IL00151,H2IL20026",6741,300038,26847,Dick Durbin,,15021,Dick Durbin
Graham,Lindsey,O.,,,Lindsey Graham,1955-07-09,M,sen,SC,,2,Republican,https://www.lgraham.senate.gov/public,211 Russell Senate Office Building Washington DC 20510,202-224-5972,https://www.lgraham.senate.gov/public/index.cfm/e-mail-senator-graham,http://www.lgraham.senate.gov/public/index.cfm?FuseAction=Rss.Feed,GrahamBlog,14845376,USSenatorLindseyGraham,USSenLindseyGraham,UClLGZMA5Ei2Z8fR1PLEx6yQ,,G000359,00452,N00009975,S293,"S0SC00149,H4SC03087",36782,300047,21992,Lindsey Graham,,29566,Lindsey Graham
McConnell,Mitch,,,,Mitch McConnell,1942-02-20,M,sen,KY,,2,Republican,https://www.mcconnell.senate.gov,317 Russell Senate Office Building Washington DC 20510,202-224-2541,https://www.mcconnell.senate.gov/public/index.cfm?p=contact,http://www.mcconnell.senate.gov/public/?a=rss.feed,McConnellPress,339822881,mitchmcconnell,,,,M000355,01395,N00003389,S174,S2KY00012,2351,300072,53298,Mitch McConnell,,14921,Mitch McConnell
Merkley,Jeff,,,,Jeff Merkley,1956-10-24,M,sen,OR,,2,Democrat,https://www.merkley.senate.gov,531 Hart Senate Office Building Washington DC 20510,202-224-3753,https://www.merkley.senate.gov/contact/,http://www.merkley.senate.gov/rss/,SenJeffMerkley,29201047,jeffmerkley,SenatorJeffMerkley,UCRoXttCJhMnLVCxCaa6VnNQ,,M001176,01900,N00029303,S322,S8OR00207,1029842,412325,23644,Jeff Merkley,,40908,Jeff Merkley
Reed,John,F.,,Jack,Jack Reed,1949-11-12,M,sen,RI,,2,Democrat,https://www.reed.senate.gov,728 Hart Senate Office Building Washington DC 20510,202-224-4642,https://www.reed.senate.gov/contact/,https://www.reed.senate.gov//rss/feeds/?type=all,SenJackReed,486694111,SenJackReed,SenatorReed,UCT_aFVtsjxPwWKfO-PW_hPw,,R000122,00949,N00000362,S259,"S6RI00163,H0RI02071",24239,300081,27060,Jack Reed,,29142,Jack Reed (Rhode Island politician)
Risch,James,E.,,,James E. Risch,1943-05-03,M,sen,ID,,2,Republican,https://www.risch.senate.gov,483 Russell Senate Office Building Washington DC 20510,202-224-2752,https://www.risch.senate.gov/public/index.cfm?p=Email,,SenatorRisch,1096059529,senatorjimrisch,SenatorJamesRisch,UCncKW8xyT5UbPNO27YuQnBA,,R000584,01896,N00029441,S323,S8ID00092,1020034,412322,2919,Jim Risch,,40902,Jim Risch
Shaheen,Jeanne,,,,Jeanne Shaheen,1947-01-28,F,sen,NH,,2,Democrat,https://www.shaheen.senate.gov,506 Hart Senate Office Building Washington DC 20510,202-224-2841,https://www.shaheen.senate.gov/contact/contact-jeanne,http://www.shaheen.senate.gov/rss/,SenatorShaheen,109287731,SenatorShaheen,senatorshaheen,UCjLZAZMbDrybHyttdEC9LFA,,S001181,01901,N00024790,S324,S0NH00219,22850,412323,1663,Jeanne Shaheen,,40906,Jeanne Shaheen
Warner,Mark,R.,,,Mark R. Warner,1954-12-15,M,sen,VA,,2,Democrat,https://www.warner.senate.gov,703 Hart Senate Office Building Washington DC 20510,202-224-2023,https://www.warner.senate.gov/public/index.cfm?p=Contact,http://www.warner.senate.gov/public/?a=rss.feed,MarkWarner,7429102,MarkRWarner,SenatorMarkWarner,UCwyivNlEGf4sGd1oDLfY5jw,,W000805,01897,N00002097,S327,"S6VA00093,P80003023",7630,412321,535,Mark Warner,,40909,Mark Warner
