bioguide,thomas,govtrack,id,address,building,city,fax,hours,phone,state,suite,zip,latitude,longitude
A000055,01460,400004,A000055-cullman,205 4th Ave. NE,,Cullman,256-737-0885,,256-734-6043,AL,Suite 104,35055,34.181059,-86.840631
A000055,01460,400004,A000055-gadsden,600 Broad St.,,Gadsden,256-546-8778,,256-546-0201,AL,Suite 107,35901,34.01421000000001,-86.006846
A000055,01460,400004,A000055-jasper,1710 Alabama Ave.,Carl Elliott Building,Jasper,205-221-9035,,205-221-2310,AL,247,35501,33.83438,-87.274935
A000055,01460,400004,A000055-tuscumbia,1011 George Wallace Blvd.,,Tuscumbia,256-381-7659,,256-381-3450,AL,Suite 146,35674,34.7412348,-87.6794142
A000360,01695,300002,A000360-blountville,2525 Highway 75,Tri-Cities Regional Airport,Blountville,423-325-6236,,423-325-6240,TN,Suite 101,37617,36.473223,-82.4092344
A000360,01695,300002,A000360-chattanooga,900 Georgia Ave.,Joel E. Soloman Federal Building,Chattanooga,423-752-5342,,423-752-5337,TN,#260,37402,35.0450875,-85.3082146
A000360,01695,300002,A000360-jackson,111 Murray Guard Dr.,,Jackson,731-664-3129,,731-664-0289,TN,Suite D,38305,35.693264,-88.852707
A000360,01695,300002,A000360-knoxville,800 Market St.,"Howard H. Baker, Jr., U.S. Courthouse",Knoxville,865-545-4252,,865-545-4253,TN,#112,37902,35.96172,-83.91775799999999
A000360,01695,300002,A000360-memphis,167 N. Main St.,Clifford Davis-Odell Horton Federal Building,Memphis,901-544-4227,,901-544-4224,TN,#1068,38103,35.1497482,-90.0517538
A000360,01695,300002,A000360-nashville,3322 W. End Ave.,,Nashville,615-269-4803,,615-736-5129,TN,#120,37203,36.1400262,-86.8199101
A000367,02029,412438,A000367-battle_creek,70 W. Michigan Ave.,,Battle Creek,,By appointment only,269-205-3823,MI,Suite 212,49017,42.3213842,-85.1838246
