last_name,first_name,middle_name,suffix,nickname,full_name,birthday,gender,type,state,district,senate_class,party,url,address,phone,contact_form,rss_url,twitter,twitter_id,facebook,youtube,youtube_id,mastodon,bioguide_id,thomas_id,opensecrets_id,lis_id,fec_ids,cspan_id,govtrack_id,votesmart_id,ballotpedia_id,washington_post_id,icpsr_id,wikipedia_id
Bassett,Richard,,,,,1745-04-02,M,sen,DE,,2,Anti-Administration,,,,,,,,,,,,B000226,,,,,,401222,,,,507,Richard Bassett (Delaware politician)
Bland,Theodorick,,,,,1742-03-21,M,rep,VA,9,,,,,,,,,,,,,,B000546,,,,,,401521,,,,786,Theodorick Bland (congressman)
Burke,Aedanus,,,,,1743-06-16,M,rep,SC,2,,,,,,,,,,,,,,B001086,,,,,,402032,,,,1260,Aedanus Burke
Carroll,Daniel,,,,,1730-07-22,M,rep,MD,6,,,,,,,,,,,,,,C000187,,,,,,402334,,,,1538,Daniel Carroll
Clymer,George,,,,,1739-03-16,M,rep,PA,-1,,,,,,,,,,,,,,C000538,,,,,,402671,,,,1859,George Clymer
Contee,Benjamin,,,,,,M,rep,MD,3,,,,,,,,,,,,,,C000710,,,,,,402834,,,,2010,Benjamin Contee
Dalton,Tristram,,,,,1738-05-28,M,sen,MA,,1,Pro-Administration,,,,,,,,,,,,D000013,,,,,,403156,,,,2307,Tristram Dalton
Elmer,Jonathan,,,,,1745-11-29,M,sen,NJ,,1,Pro-Administration,,,,,,,,,,,,E000155,,,,,,403846,,,,2943,Jonathan Elmer
Few,William,,,,,1748-06-08,M,sen,GA,,2,Anti-Administration,,,,,,,,,,,,F000100,,,,,,404057,,,,3128,William Few
Floyd,William,,,,,1734-12-17,M,rep,NY,1,,,,,,,,,,,,,,F000224,,,,,,404179,,,,3237,William Floyd
Gale,George,,,,,1756-06-03,M,rep,MD,5,,,,,,,,,,,,,,G000012,,,,,,404389,,,,3430,George Gale (congressman)
Grayson,William,,,,,,M,sen,VA,,1,Anti-Administration,,,,,,,,,,,,G000403,,,,,,404753,,,,3771,William Grayson
Grout,Jonathan,,,,,1737-07-23,M,rep,MA,8,,,,,,,,,,,,,,G000500,,,,,,404845,,,,3857,Jonathan Grout
Hawkins,Benjamin,,,,,1754-08-15,M,sen,NC,,3,Pro-Administration,,,,,,,,,,,,H000368,,,,,,405237,,,,4212,Benjamin Hawkins
Huntington,Benjamin,,,,,1736-04-19,M,rep,CT,-1,,,,,,,,,,,,,,H000995,,,,,,405835,,,,4766,Benjamin Huntington
Izard,Ralph,,,,,,M,sen,SC,,3,Pro-Administration,,,,,,,,,,,,I000053,,,,,,412129,,,,4837,Ralph Izard
Johnson,William,Samuel,,,,1727-10-07,M,sen,CT,,3,Pro-Administration,,,,,,,,,,,,J000182,,,,,,406077,,,,4998,William Samuel Johnson
Johnston,Samuel,,,,,1733-12-15,M,sen,NC,,2,Pro-Administration,,,,,,,,,,,,J000198,,,,,,406093,,,,5012,Samuel Johnston
Lee,Richard,Henry,,,,1732-01-20,M,sen,VA,,2,Anti-Administration,,,,,,,,,,,,L000201,,,,,,406704,,,,5565,Richard Henry Lee
Maclay,William,,,,,1737-07-20,M,sen,PA,,1,Anti-Administration,,,,,,,,,,,,M000031,,,,,,407058,,,,5891,"William Maclay (Pennsylvania politician, born 1737)"
Mathews,George,,,,,1739-08-30,M,rep,GA,3,,,,,,,,,,,,,,M000234,,,,,,407252,,,,6071,George Mathews (soldier)
Morris,Robert,,,,,1734-01-20,M,sen,PA,,3,Pro-Administration,,,,,,,,,,,,M000985,,,,,,407953,,,,6712,Robert Morris (financier)
Partridge,George,,,,,1740-02-08,M,rep,MA,5,,,,,,,,,,,,,,P000092,,,,,,408502,,,,7224,George Partridge
Paterson,William,,,,,1745-12-24,M,sen,NJ,,2,Pro-Administration,,,,,,,,,,,,P000102,,,,,,408510,,William Paterson,,7231,William Paterson (judge)
Smith,William,,,,,1728-04-12,M,rep,MD,4,,,,,,,,,,,,,,S000624,,,,,,410099,,,,8693,William Smith (Maryland politician)
Stone,Michael,Jenifer,,,,,M,rep,MD,1,,,,,,,,,,,,,,S000961,,,,,,410420,,,,8983,Michael Jenifer Stone
Van Rensselaer,Jeremiah,,,,,1738-08-27,M,rep,NY,6,,,,,,,,,,,,,,V000053,,,,,,411095,,,,9629,Jeremiah Van Rensselaer
Wynkoop,Henry,,,,,1737-03-02,M,rep,PA,-1,,,,,,,,,,,,,,W000783,,,,,,411931,,,,10405,Henry Wynkoop
Dickinson,Philemon,,,,,1739-04-05,M,sen,NJ,,2,Pro-Administration,,,,,,,,,,,,D000324,,,,,,403444,,,,2576,Philemon Dickinson
Walker,John,,,,,1744-02-13,M,sen,VA,,1,Pro-Administration,,,,,,,,,,,,W000059,,,,,,411238,,,,9747,John Walker (Virginia politician)
Ashe,John,Baptista,,,,,M,rep,NC,3,,,,,,,,,,,,,,A000307,,,,,,400951,,,,259,John Baptista Ashe (Continental Congress)
Barnwell,Robert,,,,,1761-12-21,M,rep,SC,2,,,,,,,,,,,,,,B000167,,,,,,401169,,,,456,Robert Barnwell
Burr,Aaron,,,,,1756-02-06,M,sen,NY,,1,Republican,,,,,,,,,,,,B001133,,,,,,402077,,,,1302,Aaron Burr
Cabot,George,,,,,1752-12-03,M,sen,MA,,1,Federalist,,,,,,,,,,,,C000009,,,,,,402171,,,,1384,George Cabot
Carroll,Charles,,,of Carrollton,,1737-09-19,M,sen,MD,,1,,,,,,,,,,,,,C000185,,,,,,402332,,,,1536,Charles Carroll of Carrollton
Ellsworth,Oliver,,,,,1745-04-29,M,sen,CT,,1,Federalist,,,,,,,,,,,,E000147,,,,,,403838,,Oliver Ellsworth,,2936,Oliver Ellsworth
Gerry,Elbridge,,,,,1744-07-17,M,rep,MA,3,,,,,,,,,,,,,,G000139,,,,,,404507,,,,3541,Elbridge Gerry
Huger,Daniel,,,,,1742-02-20,M,rep,SC,3,,,,,,,,,,,,,,H000916,,,,,,405761,,,,4695,Daniel Huger
Jacobs,Israel,,,,,1726-06-09,M,rep,PA,3,,,,,,,,,,,,,,J000036,,,,,,405941,,,,4871,Israel Jacobs
Key,Philip,,,,,,M,rep,MD,1,,,,,,,,,,,,,,K000158,,,,,,406322,,,,5224,Philip Key (U.S. politician)
Read,George,,,,,1733-09-18,M,sen,DE,,1,,,,,,,,,,,,,R000091,,,,,,409071,,,,7762,"George Read (American politician, born 1733)"
Robinson,Moses,,,,,1741-03-22,M,sen,VT,,1,Anti-Administration,,,,,,,,,,,,R000350,,,,,,409321,,,,7989,Moses Robinson
Schoonmaker,Cornelius,Corneliusen,,,,,M,rep,NY,4,,,,,,,,,,,,,,S000140,,,,,,409648,,,,8272,Cornelius C. Schoonmaker
Seney,Joshua,,,,,1756-03-04,M,rep,MD,2,,,,,,,,,,,,,,S000242,,,,,,409746,,,,8363,Joshua Seney
Sheredine,Upton,,,,,,M,rep,MD,6,,,,,,,,,,,,,,S000340,,,,,,409837,,,,8449,Upton Sheredine
Sherman,Roger,,,,,1721-04-19,M,sen,CT,,3,Pro-Administration,,,,,,,,,,,,S000349,,,,,,409845,,,,8457,Roger Sherman
Silvester,Peter,,,,,,M,rep,NY,5,,,,,,,,,,,,,,S000412,,,,,,409906,,,,8511,Peter Silvester (1734–1808)
Steele,John,,,,,1764-11-16,M,rep,NC,1,,,,,,,,,,,,,,S000832,,,,,,410296,,,,8869,John Steele (North Carolina politician)
Sterett,Samuel,,,,,,M,rep,MD,4,,,,,,,,,,,,,,S000866,,,,,,410328,,,,8896,Samuel Sterett
Sturges,Jonathan,,,,,1740-08-23,M,rep,CT,-1,,,,,,,,,,,,,,S001047,,,,,,410501,,,,9062,Jonathan Sturges
Tucker,Thomas,Tudor,,,,1745-06-25,M,rep,SC,5,,,,,,,,,,,,,,T000403,,,,,,410972,,,,9501,Thomas Tudor Tucker
Wayne,Anthony,,,,,1745-01-01,M,rep,GA,1,,,,,,,,,,,,,,W000216,,,,,,411384,,,,9885,Anthony Wayne
White,Alexander,,,,,,M,rep,VA,1,,,,,,,,,,,,,,W000352,,,,,,411514,,,,10006,Alexander White (Virginia politician)
Williamson,Hugh,,,,,1735-12-05,M,rep,NC,4,,Federalist,,,,,,,,,,,,W000551,,,,,,411707,,,,10193,Hugh Williamson
Willis,Francis,,,,,1745-01-05,M,rep,GA,3,,,,,,,,,,,,,,W000560,,,,,,411716,,,,10202,Francis Willis (politician)
Edwards,John,,,,,,M,sen,KY,,3,Anti-Administration,,,,,,,,,,,,E000075,,,,,,403764,,,,2866,John Edwards (Kentucky politician)
Potts,Richard,,,,,1753-07-19,M,sen,MD,,1,Federalist,,,,,,,,,,,,P000473,,,,,,408858,,,,7564,Richard Potts
Armstrong,James,,,,,1748-08-29,M,rep,PA,-1,,,,,,,,,,,,,,A000280,,,,,,400920,,,,231,James Armstrong (Pennsylvania politician)
Beatty,John,,,,,1749-12-10,M,rep,NJ,-1,,,,,,,,,,,,,,B000282,,,,,,401276,,,,554,John Beatty (Continental Congress)
Boudinot,Elias,,,,,1740-05-02,M,rep,NJ,-1,,,,,,,,,,,,,,B000661,,,,,,401623,,,,878,Elias Boudinot
Bourne,Shearjashub,,,,,1746-06-14,M,rep,MA,3,,,,,,,,,,,,,,B000671,,,,,,401633,,,,886,Shearjashub Bourne
Bradford,William,,,,,1729-11-04,M,sen,RI,,2,Federalist,,,,,,,,,,,,B000739,,,,,,401699,,,,951,William Bradford (Rhode Island politician)
Cadwalader,Lambert,,,,,,M,rep,NJ,-1,,,,,,,,,,,,,,C000012,,,,,,402174,,,,1387,Lambert Cadwalader (representative)
Carnes,Thomas,Petters,,,,,M,rep,GA,0,,,,,,,,,,,,,,C000163,,,,,,402311,,,,1518,Thomas P. Carnes
Clark,Abraham,,,,,1726-02-15,M,rep,NJ,-1,,,,,,,,,,,,,,C000418,,,,,,402557,,,,1750,Abraham Clark
Cobb,David,,,,,1748-09-14,M,rep,MA,-1,,,,,,,,,,,,,,C000545,,,,,,402678,,,,1865,David Cobb (Massachusetts politician)
Coffin,Peleg,,Jr.,,,1756-11-03,M,rep,MA,3,,,,,,,,,,,,,,C000591,,,,,,402720,,,,1906,Peleg Coffin Jr.
Dawson,William,Johnson,,,,,M,rep,NC,8,,Anti-Administration,,,,,,,,,,,,D000157,,,,,,412032,,,,2432,William Johnston Dawson
Edwards,Benjamin,,,,,1753-08-12,M,rep,MD,3,,,,,,,,,,,,,,E000060,,,,,,403755,,,,2859,Benjamin Edwards (Maryland politician)
Fitzsimons,Thomas,,,,,,M,rep,PA,-1,,,,,,,,,,,,,,F000178,,,,,,404133,,,,3196,Thomas Fitzsimons
Forrest,Uriah,,,,,,M,rep,MD,3,,,,,,,,,,,,,,F000282,,,,,,404232,,,,3285,Uriah Forrest
Frelinghuysen,Frederick,,,,,1753-04-13,M,sen,NJ,,2,Federalist,,,,,,,,,,,,F000368,,,,,,404314,,,,3361,Frederick Frelinghuysen (general)
Gillon,Alexander,,,,,,M,rep,SC,5,,,,,,,,,,,,,,G000211,,,,,,404574,,,,3607,Alexander Gillon
Gordon,James,,,,,1739-10-31,M,rep,NY,9,,,,,,,,,,,,,,G000311,,,,,,404669,,,,3695,James Gordon (New York politician)
Griffin,Samuel,,,,,,M,rep,VA,13,,,,,,,,,,,,,,G000466,,,,,,404811,,,,3825,Samuel Griffin
Holten,Samuel,,,,,1738-06-09,M,rep,MA,1,,,,,,,,,,,,,,H000750,,,,,,405601,,,,4546,Samuel Holten
Irvine,William,,,,,1741-11-03,M,rep,PA,-1,,,,,,,,,,,,,,I000035,,,,,,405892,,,,4820,William Irvine (general)
Learned,Amasa,,,,,1750-11-15,M,rep,CT,-1,,,,,,,,,,,,,,L000178,,,,,,406680,,,,5543,Amasa Learned
Lee,Richard,Bland,,,,1761-01-20,M,rep,VA,17,,,,,,,,,,,,,,L000200,,,,,,406703,,,,5564,Richard Bland Lee
Martin,Alexander,,,,,,M,sen,NC,,2,Republican,,,,,,,,,,,,M000166,,,,,,407188,,,,6012,Alexander Martin
McDowell,Joseph,,,,,1758-02-25,M,rep,NC,1,,,,,,,,,,,,,,M000424,,,,,,407423,,,,6230,"Joseph ""Pleasant Gardens"" McDowell"
Mebane,Alexander,,,,,1744-11-26,M,rep,NC,4,,,,,,,,,,,,,,M000622,,,,,,407611,,,,6401,Alexander Mebane
Mercer,John,Francis,,,,1759-05-17,M,rep,MD,2,,,,,,,,,,,,,,M000645,,,,,,407631,,,,6418,John Francis Mercer
Mitchell,Stephen,Mix,,,,1743-12-09,M,sen,CT,,3,Pro-Administration,,,,,,,,,,,,M000828,,,,,,407803,,,,6574,Stephen Mix Mitchell
Montgomery,William,,,,,1736-08-03,M,rep,PA,-1,,,,,,,,,,,,,,M000873,,,,,,407845,,,,6608,William Montgomery (Pennsylvania soldier)
Neville,Joseph,,,,,,M,rep,VA,3,,,,,,,,,,,,,,N000055,,,,,,408143,,,,6883,Joseph Neville
Niles,Nathaniel,,,,,1741-04-03,M,rep,VT,2,,,,,,,,,,,,,,N000109,,,,,,408193,,,,6932,Nathaniel Niles (politician)
Pickens,Andrew,,,,,1739-09-13,M,rep,SC,6,,,,,,,,,,,,,,P000320,,,,,,408719,,,,7425,Andrew Pickens (congressman)
Scott,Thomas,,,,,,M,rep,PA,-1,,,,,,,,,,,,,,S000186,,,,,,409691,,,,8312,Thomas Scott (American politician)
Strong,Caleb,,,,,1745-01-09,M,sen,MA,,2,Federalist,,,,,,,,,,,,S001009,,,,,,410466,,,,9028,Caleb Strong
Talbot,Silas,,,,,1751-01-11,M,rep,NY,10,,,,,,,,,,,,,,T000019,,,,,,410609,,,,9161,Silas Talbot
Tredwell,Thomas,,,,,1743-02-06,M,rep,NY,2,,,,,,,,,,,,,,T000361,,,,,,410931,,,,9463,Thomas Tredwell
Van Gaasbeck,Peter,,,,,1754-09-27,M,rep,NY,4,,,,,,,,,,,,,,V000039,,,,,,411084,,,,9615,Peter Van Gaasbeck
Vining,John,,,,,1758-12-23,M,sen,DE,,2,Federalist,,,,,,,,,,,,V000104,,,,,,411159,,,,9676,John Vining
