Race,Incumbent Win? Y/N,GovTrack ID,Party,Last Name,First Name,Middle Name,Suffix,Gender (M/F),Birthday (YYYY-MM-DD),FEC.gov ID,Wikidata ID,Twitter Handle,Found photo?
AK,Y,412665,R,Sullivan,,,,,,,,,
AL,N,,R,Tuberville,Tommy,Hawley,,M,1954-09-18,S0AL00230,Q7819948,@TTuberville,
AR,Y,412508,R,Cotton,,,,,,,,,
CO,N,,D,Hickenlooper,John,Wright,Jr.,M,1952-02-07,S0CO00575,Q430518,@Hickenlooper,
DE,Y,412390,D,Coons,,,,,,,,,
GA,Run-off election occurs after Jan 3.,,,,,,,,,,,,
IA,Y,412667,R,Ernst,,,,,,,,,
ID,Y,412322,R,Risch,,,,,,,,,
IL,Y,300038,D,Durbin,,,,,,,,,
KS,Y,412704,R,Marshall,,,,,,,,,
KY,Y,300072,R,McConnell,,,,,,,,,
LA,Y,412269,R,Cassidy,,,,,,,,,
MA,Y,400253,D,Markey,,,,,,,,,
ME,Y,300025,R,Collins,,,,,,,,,
MI,Y,412305,D,Peters,,,,,,,,,
MN,Y,412742,D,Smith,,,,,,,,,
MS,Y,412743,R,Hyde-Smith,,,,,,,,,
MT,Y,412549,R,Daines,,,,,,,,,
NC,Y,412668,R,Tillis,,,,,,,,,
NE,Y,412671,R,Sasse,,,,,,,,,
NH,Y,412323,D,Shaheen,,,,,,,,,
NJ,Y,412598,D,Booker,,,,,,,,,
NM,N,412293,D,Luján,Ben Ray,,,M,1972-06-07,S0NM00058,Q324256,@BenRayLujan,
OK,Y,300055,R,Inhofe,,,,,,,,,
OR,Y,412325,D,Merkley,,,,,,,,,
RI,Y,300081,D,Reed,,,,,,,,,
SC,Y,300047,R,Graham,,,,,,,,,
SD,Y,412669,R,Rounds,,,,,,,,,
TN,N,,R,Hagerty,Bill,Francis,IV,M,1959-08-14,S0TN00169,Q27734214,@BillHagertyTN,
TX,Y,300027,R,Cornyn,,,,,,,,,
VA,Y,412321,D,Warner,,,,,,,,,
WV,Y,400061,R,Capito,,,,,,,,,
WY,N,412294,R,Lummis,Cynthia,Marie,,F,1954-09-10,S0WY00137,Q456064,@CynthiaMLummis,
AK0,Y,,,,,,,,,,,,
AL1,N,,R,Carl,Jerry,Lee,Jr.,M,1958-06-17,H0AL01055,Q102277702,@CarlForAlabama,
AL2,N,,R,Moore,Felix,Barry,,M,1966-09-26,H8AL02171,Q63198048,,
AL3,Y,,,,,,,,,,,,
