Race,Bioguide ID,Name,New Member?,Party (D/R/I),Caucus If Independent,First Name,Middle Name,Last Name,Suffix,Gender (M/F),Birthday (YYYY-MM-DD),FEC.gov ID,Wikipedia URL
AZ,G000574,Ruben Gallego,,,,,,,,,,,
CA,S001150,Adam Schiff,,,,,,,,,,,
CT,M001169,Christopher Murphy,,,,,,,,,,,
DE,B001303,Lisa Blunt Rochester,,,,,,,,,,,
FL,S001217,Rick Scott,,,,,,,,,,,
HI,H001042,Mazie K. Hirono,,,,,,,,,,,
IN,B001299,Jim Banks,,,,,,,,,,,
MA,W000817,Elizabeth Warren,,,,,,,,,,,
MD,(not assigned),Angela Alsobrooks,NEW,D,,Angela,Deneece,Alsobrooks,,F,1971-02-23,S4MD00327,https://en.wikipedia.org/wiki/Angela_Alsobrooks
ME,K000383,"Angus S. King, Jr.",,,,,,,,,,,
MI,S001208,Elissa Slotkin,,,,,,,,,,,
MN,K000367,Amy Klobuchar,,,,,,,,,,,
MO,H001089,Josh Hawley,,,,,,,,,,,
MS,W000437,Roger F. Wicker,,,,,,,,,,,
MT,(not assigned),Tim Sheehy,NEW,R,,Tim,Patrick,Sheehy,,M,1985-11-18,S4MT00183,https://en.wikipedia.org/wiki/Tim_Sheehy_(American_politician)
ND,C001096,Kevin Cramer,,,,,,,,,,,
NE,F000463,Deb Fischer,,,,,,,,,,,
NJ,K000394,Andy Kim,,,,,,,,,,,
NM,H001046,Martin Heinrich,,,,,,,,,,,
NV,R000608,Jacky Rosen,,,,,,,,,,,
NY,G000555,Kirsten E. Gillibrand,,,,,,,,,,,
OH,(not assigned),Bernie Moreno,NEW,R,,Bernie,,Moreno,,M,1967-02-14,S4OH00192,https://en.wikipedia.org/wiki/Bernie_Moreno
PA,(not assigned),David McCormick,NEW,R,,Dave,Harold,McCormick,,M,1965-08-17,S2PA00661,https://en.wikipedia.org/wiki/Dave_McCormick
RI,W000802,Sheldon Whitehouse,,,,,,,,,,,
TN,B001243,Marsha Blackburn,,,,,,,,,,,
TX,C001098,Ted Cruz,,,,,,,,,,,
UT,C001114,John Curtis,,,,,,,,,,,
VA,K000384,Tim Kaine,,,,,,,,,,,
VT,S000033,Bernard Sanders,,,,,,,,,,,
WA,C000127,Maria Cantwell,,,,,,,,,,,
WI,B001230,Tammy Baldwin,,,,,,,,,,,
WV,(not assigned),Jim Justice,NEW,R,,Jim,Conley,Justice,II,M,1951-04-27,S4WV00332,https://en.wikipedia.org/wiki/Jim_Justice
WY,B001261,John Barrasso,,,,,,,,,,,
AK00,B001323,Nicholas Begich,NEW,R,,Nicholas,Joseph,Begich,III,M,1977-10-21,H2AK01083,https://en.wikipedia.org/wiki/Nick_Begich_III
AL01,M001212,Barry Moore,,R,R,Barry,,Moore,,M,,,
AL02,F000481,Shomari Figures,NEW,D,,Shomari,Coleman,Figures,,M,1985-09-03,H4AL02170,https://en.wikipedia.org/wiki/Shomari_Figures
AL03,R000575,Mike Rogers,,R,R,Mike,,Rogers,,M,,,
AL04,A000055,Robert Aderholt,,R,R,Robert,B.,Aderholt,,M,,,
AL05,S001220,Dale Strong,,R,R,Dale,W.,Strong,,M,,,
AL06,P000609,Gary Palmer,,R,R,Gary,J.,Palmer,,M,,,
AL07,S001185,Terri Sewell,,D,D,Terri,A.,Sewell,,F,,,
AR01,C001087,Eric Crawford,,R,R,Eric,"A. ""Rick""",Crawford,,M,,,
AR02,H001072,J. Hill,,R,R,J.,French,Hill,,M,,,
AR03,W000809,Steve Womack,,R,R,Steve,,Womack,,M,,,
AR04,W000821,Bruce Westerman,,R,R,Bruce,,Westerman,,M,,,
AQ00,R000600,Aumua Amata Radewagen,,R,R,Aumua Amata,Coleman,Radewagen,,F,,,
AZ01,S001183,David Schweikert,,R,R,David,,Schweikert,,M,,,
