state,seat,first,last,incumbent,party,id,gender,suffix,middle
WA,0,Maria,Cantwell,1,Democrat,300018,,,
DE,0,Thomas,Carper,1,Democrat,300019,,,
CA,0,Dianne,Feinstein,1,Democrat,300043,,,
UT,0,Orrin,Hatch,1,Republican,300052,,,
FL,0,Bill,Nelson,1,Democrat,300078,,,
MI,0,Debbie,Stabenow,1,Democrat,300093,,,
AL,4,Robert,Aderholt,1,Republican,400004,,,
LA,5,Rodney,Alexander,1,Republican,400006,,,
NJ,1,Robert,Andrews,1,Democrat,400008,,,
AL,6,Spencer,Bachus,1,Republican,400010,,,
WI,0,Tammy,Baldwin,0,Democrat,400013,,,
TX,6,Joe,Barton,1,Republican,400018,,,
CA,34,Xavier,Becerra,1,Democrat,400021,,,
UT,1,Rob,Bishop,1,Republican,400029,,,
GA,2,Sanford,Bishop,1,Democrat,400030,,,
NY,1,Timothy,Bishop,1,Democrat,400031,,,
TN,7,Marsha,Blackburn,1,Republican,400032,,,
OR,3,Earl,Blumenauer,1,Democrat,400033,,,
OH,8,John,Boehner,1,Republican,400036,,,
AL,1,Jo,Bonner,1,Republican,400038,,,
TX,8,Kevin,Brady,1,Republican,400046,,,
PA,1,Robert,Brady,1,Democrat,400047,,,
FL,5,Corrine,Brown,1,Democrat,400048,,,
OH,0,Sherrod,Brown,1,Democrat,400050,,,
TX,26,Michael,Burgess,1,Republican,400052,,,
CA,42,Ken,Calvert,1,Republican,400057,,,
MI,4,Dave,Camp,1,Republican,400058,,,
VA,7,Eric,Cantor,1,Republican,400060,,,
WV,2,Shelley Moore,Capito,1,Republican,400061,,,
CA,24,Lois,Capps,1,Democrat,400062,,,
MA,7,Mike,Capuano,1,Democrat,400063,,,
MD,0,Ben,Cardin,1,Democrat,400064,,,
TX,31,John,Carter,1,Republican,400068,,,
OH,1,Steve,Chabot,1,Republican,400071,,,
MO,1,Lacy,Clay,1,Democrat,400074,,,
SC,6,Jim,Clyburn,1,Democrat,400075,,,
NC,6,Howard,Coble,1,Republican,400076,,,
OK,4,Tom,Cole,1,Republican,400077,,,
MI,13,John,Conyers,1,Democrat,400080,,,
TN,5,Jim,Cooper,1,Democrat,400081,,,
FL,4,Ander,Crenshaw,1,Republican,400086,,,
NY,14,Joe,Crowley,1,Democrat,400087,,,
TX,7,John,Culberson,1,Republican,400089,,,
MD,7,Elijah,Cummings,1,Democrat,400090,,,
IL,7,Danny,Davis,1,Democrat,400093,,,
CA,53,Susan,Davis,1,Democrat,400097,,,
OR,4,Peter,DeFazio,1,Democrat,400100,,,
CO,1,Diana,DeGette,1,Democrat,400101,,,
CT,3,Rosa,DeLauro,1,Democrat,400103,,,
FL,25,Mario,Diaz-Balart,1,Republican,400108,,,
MI,12,John,Dingell,1,Democrat,400110,,,
TX,35,Lloyd,Doggett,1,Democrat,400111,,,
PA,14,Mike,Doyle,1,Democrat,400114,,,
TN,2,John,Duncan,1,Republican,400116,,,
MO,8,Jo Ann,Emerson,1,Republican,400121,,,
NY,16,Eliot,Engel,1,Democrat,400122,,,
CA,18,Anna,Eshoo,1,Democrat,400124,,,
CA,20,Sam,Farr,1,Democrat,400129,,,
PA,2,Chaka,Fattah,1,Democrat,400130,,,
AZ,0,Jeff,Flake,0,Republican,400134,,,
VA,4,Randy,Forbes,1,Republican,400137,,,
AZ,8,Trent,Franks,1,Republican,400141,,,
NJ,11,Rodney,Frelinghuysen,1,Republican,400142,,,
NJ,5,Scott,Garrett,1,Republican,400145,,,
PA,6,Jim,Gerlach,1,Republican,400147,,,
GA,11,Phil,Gingrey,1,Republican,400151,,,
VA,6,Bob,Goodlatte,1,Republican,400154,,,
TX,12,Kay,Granger,1,Republican,400157,,,
MO,6,Sam,Graves,1,Republican,400158,,,
TX,29,Gene,Green,1,Democrat,400160,,,
AZ,3,Raul,Grijalva,1,Democrat,400162,,,
IL,4,Luis,Gutierrez,1,Democrat,400163,,,
TX,4,Ralph,Hall,1,Republican,400165,,,
FL,20,Alcee,Hastings,1,Democrat,400170,,,
WA,4,Doc,Hastings,1,Republican,400171,,,
TX,5,Jeb,Hensarling,1,Republican,400175,,,
TX,15,Ruben,Hinojosa,1,Democrat,400179,,,
NJ,12,Rush,Holt,1,Democrat,400184,,,
CA,17,Mike,Honda,1,Democrat,400185,,,
MD,5,Steny,Hoyer,1,Democrat,400189,,,
NY,3,Steve,Israel,1,Democrat,400195,,,
CA,49,Darrell,Issa,1,Republican,400196,,,
TX,18,Sheila,Jackson Lee,1,Democrat,400199,,,
TX,30,Eddie Bernice,Johnson,1,Democrat,400204,,,
TX,3,Sam,Johnson,1,Republican,400206,,,
NC,3,Walter,Jones,1,Republican,400209,,,
OH,9,Marcy,Kaptur,1,Democrat,400211,,,
WI,3,Ron,Kind,1,Democrat,400218,,,
NY,2,Peter,King,1,Republican,400219,,,
IA,4,Steve,King,1,Republican,400220,,,
GA,1,Jack,Kingston,1,Republican,400221,,,
MN,2,John,Kline,1,Republican,400224,,,
RI,2,Jim,Langevin,1,Democrat,400230,,,
WA,2,Rick,Larsen,1,Democrat,400232,,,
CT,1,John,Larson,1,Democrat,400233,,,
IA,3,Tom,Latham,1,Republican,400234,,,
CA,13,Barbara,Lee,1,Democrat,400237,,,
MI,9,Sander,Levin,1,Democrat,400238,,,
GA,5,John,Lewis,1,Democrat,400240,,,
