chamber,member_id,previous_member,party,new_id,new_member,winner_party,date_of_birth,gender,state_abbrev,district,new_fec_cand_id
House,Y000033,Don Young,R,Y000033,Don Young,R,6/9/1933,M,AK,AL,
House,B001289,Bradley  Byrne,R,B001289,Bradley  Byrne,R,2/16/1955,M,AL,1,
House,R000591,Martha Roby,R,R000591,Martha Roby,R,7/27/1976,F,AL,2,
House,R000575,Mike D. Rogers,R,R000575,Mike D. Rogers,R,7/16/1958,M,AL,3,
House,A000055,Robert B. Aderholt,R,A000055,Robert B. Aderholt,R,7/22/1965,M,AL,4,
House,B001274,Mo Brooks,R,B001274,Mo Brooks,R,4/29/1954,M,AL,5,
House,B000013,Spencer Bachus,R,,Gary Palmer,R,5/14/1954,M,AL,6,H4AL06098
House,S001185,Terri Sewell,D,S001185,Terri Sewell,D,1/1/1965,F,AL,7,
House,C001087,Rick Crawford,R,C001087,Rick Crawford,R,1/1/1966,M,AR,1,
House,G000567,Tim Griffin,R,,French Hill,R,12/5/1956,M,AR,2,H4AR02141
House,W000809,Steve Womack,R,W000809,Steve Womack,R,2/18/1957,M,AR,3,
House,C001095,Tom Cotton,R,,Bruce Westerman,R,11/18/1967,M,AR,4,H4AR04048
House,K000368,Ann Kirkpatrick,D,K000368,Ann Kirkpatrick,D,3/24/1950,F,AZ,1,
House,B001279,Ron Barber,D,,Martha McSally,R,3/22/1966,F,AZ,2,H2AZ08102
House,G000551,Raí_l M. Grijalva,D,G000551,Raul M. Grijalva,D,2/19/1948,M,AZ,3,
House,G000565,Paul Gosar,R,G000565,Paul Gosar,R,11/22/1958,M,AZ,4,
House,S000018,Matt Salmon,R,S000018,Matt Salmon,R,1/21/1958,M,AZ,5,
House,S001183,David Schweikert,R,S001183,David Schweikert,R,3/3/1962,M,AZ,6,
House,P000099,Ed Pastor,D,,Ruben Gallego,D,11/20/1979,M,AZ,7,H4AZ07043
House,F000448,Trent Franks,R,F000448,Trent Franks,R,6/19/1957,M,AZ,8,
House,S001191,Kyrsten Sinema,D,S001191,Kyrsten Sinema,D,7/12/1976,F,AZ,9,
House,L000578,Doug LaMalfa,R,L000578,Doug LaMalfa,R,7/2/1960,M,CA,1,
House,H001068,Jared Huffman,D,H001068,Jared Huffman,D,2/18/1964,M,CA,2,
House,G000559,John Garamendi,D,G000559,John Garamendi,D,1/24/1945,M,CA,3,
House,M001177,Tom McClintock,R,M001177,Tom McClintock,R,7/10/1956,M,CA,4,
House,T000460,Mike Thompson,D,T000460,Mike Thompson,D,1/24/1951,M,CA,5,
House,M001163,Doris Matsui,D,M001163,Doris Matsui,D,9/25/1944,F,CA,6,
House,B001287,Ami Bera,D,B001287,Ami Bera,D,3/2/1965,M,CA,7,
House,C001094,Paul Cook,R,C001094,Paul Cook,R,3/3/1943,M,CA,8,
House,M001166,Jerry McNerney,D,M001166,Jerry McNerney,D,6/18/1951,M,CA,9,
House,D000612,Jeffrey Denham,R,D000612,Jeffrey Denham,R,7/29/1967,M,CA,10,
House,M000725,George Miller,D,,Mark DeSaulnier,D,3/31/1952,M,CA,11,H0CA10073
House,P000197,Nancy Pelosi,D,P000197,Nancy Pelosi,D,3/26/1940,F,CA,12,
House,L000551,Barbara Lee,D,L000551,Barbara Lee,D,7/16/1946,F,CA,13,
House,S001175,Jackie Speier,D,S001175,Jackie Speier,D,5/14/1950,F,CA,14,
House,S001193,Eric Swalwell,D,S001193,Eric Swalwell,D,11/16/1980,M,CA,15,
House,C001059,Jim Costa,D,C001059,Jim Costa,D,4/13/1952,M,CA,16,
House,H001034,Michael M. Honda,D,H001034,Michael M. Honda,D,6/27/1941,M,CA,17,
House,E000215,Anna G. Eshoo,D,E000215,Anna G. Eshoo,D,12/13/1942,F,CA,18,
House,L000397,Zoe Lofgren,D,L000397,Zoe Lofgren,D,12/21/1947,F,CA,19,
House,F000030,Sam Farr,D,F000030,Sam Farr,D,7/4/1941,M,CA,20,
House,V000129,David Valadao,R,V000129,David Valadao,R,4/14/1977,M,CA,21,
House,N000181,Devin Nunes,R,N000181,Devin Nunes,R,10/1/1973,M,CA,22,
House,M001165,Kevin McCarthy,R,M001165,Kevin McCarthy,R,1/26/1965,M,CA,23,
House,C001036,Lois Capps,D,C001036,Lois Capps,D,1/10/1938,F,CA,24,
House,M000508,Howard P. McKeon,R,,Steve Knight,R,12/17/1966,M,CA,25,H4CA25123
House,B001285,Julia Brownley,D,B001285,Julia Brownley,D,8/28/1952,F,CA,26,
House,C001080,Judy Chu,D,C001080,Judy Chu,D,7/7/1953,F,CA,27,
House,S001150,Adam B. Schiff,D,S001150,Adam B. Schiff,D,6/22/1960,M,CA,28,
House,C001097,Tony Cardenas,D,C001097,Tony Cardenas,D,3/31/1963,M,CA,29,
House,S000344,Brad Sherman,D,S000344,Brad Sherman,D,10/24/1954,M,CA,30,
House,M001139,Gary G. Miller,D,,Pete Aguilar,D,6/19/1979,M,CA,31,H2CA31125
House,N000179,Grace F. Napolitano,D,N000179,Grace F. Napolitano,D,12/4/1936,F,CA,32,
House,W000215,Henry A. Waxman,D,,Ted Lieu,D,3/29/1969,M,CA,33,H4CA33119
House,B000287,Xavier Becerra,D,B000287,Xavier Becerra,D,1/26/1958,M,CA,34,
House,N000187,Gloria Negrete McLeod,D,,Norma Torres,D,4/4/1965,F,CA,35,H4CA35031
House,R000599,Raul Ruiz,D,R000599,Raul Ruiz,D,8/25/1972,M,CA,36,
House,B001270,Karen Bass,D,B001270,Karen Bass,D,10/3/1953,F,CA,37,
House,S001156,Linda T. Sanchez,D,S001156,Linda T. Sanchez,D,1/28/1969,F,CA,38,
House,R000487,Ed Royce,R,R000487,Ed Royce,R,10/12/1951,M,CA,39,
House,R000486,Lucille Roybal-Allard,D,R000486,Lucille Roybal-Allard,D,6/12/1941,M,CA,40,
House,T000472,Mark Takano,D,T000472,Mark Takano,D,12/10/1960,M,CA,41,
House,C000059,Ken Calvert,R,C000059,Ken Calvert,R,6/8/1953,M,CA,42,
House,W000187,Maxine Waters,D,W000187,Maxine Waters,D,8/15/1938,F,CA,43,
House,H001063,Janice Hahn,D,H001063,Janice Hahn,D,3/30/1952,F,CA,44,
House,C001064,John Campbell,R,,Mimi Walters,R,5/14/1962,F,CA,45,H4CA45097
House,S000030,Loretta Sanchez,D,S000030,Loretta Sanchez,D,1/7/1960,F,CA,46,
House,L000579,Alan Lowenthal,D,L000579,Alan Lowenthal,D,3/8/1941,M,CA,47,
House,R000409,Dana Rohrabacher,R,R000409,Dana Rohrabacher,R,6/21/1947,M,CA,48,
House,I000056,Darrell Issa,R,I000056,Darrell Issa,R,1/1/1954,M,CA,49,
House,H001048,Duncan D. Hunter,R,H001048,Duncan D. Hunter,R,12/7/1976,M,CA,50,
House,V000130,Juan Vargas,D,V000130,Juan Vargas,D,3/7/1961,M,CA,51,
House,P000608,Scott Peters,D,P000608,Scott Peters,D,6/17/1958,M,CA,52,
House,D000598,Susan A. Davis,D,D000598,Susan A. Davis,D,4/13/1944,F,CA,53,
House,D000197,Diana DeGette,D,D000197,Diana DeGette,D,7/29/1957,F,CO,1,
House,P000598,Jared Polis,D,P000598,Jared Polis,D,5/12/1975,M,CO,2,
House,T000470,Scott Tipton,R,T000470,Scott Tipton,R,11/9/1956,M,CO,3,
House,G000562,Cory Gardner,R,,Ken Buck,R,2/16/1959,M,CO,4,"S0CO00237,H4CO04090"
House,L000564,Doug Lamborn,R,L000564,Doug Lamborn,R,5/24/1954,M,CO,5,
House,C001077,Mike Coffman,R,C001077,Mike Coffman,R,3/19/1955,M,CO,6,
House,P000593,Ed Perlmutter,D,P000593,Ed Perlmutter,D,5/1/1953,M,CO,7,
House,L000557,John B. Larson,D,L000557,John B. Larson,D,7/22/1948,M,CT,1,
House,C001069,Joe Courtney,D,C001069,Joe Courtney,D,4/6/1953,M,CT,2,
House,D000216,Rosa DeLauro,D,D000216,Rosa DeLauro,D,3/2/1943,F,CT,3,
House,H001047,Jim Himes,D,H001047,Jim Himes,D,7/5/1966,M,CT,4,
House,E000293,Elizabeth Esty,D,E000293,Elizabeth Esty,D,8/25/1959,F,CT,5,
House,C001083,John Carney,D,C001083,John Carney,D,5/20/1956,M,DE,AL,
House,M001144,Jeff Miller,R,M001144,Jeff Miller,R,6/27/1959,M,FL,1,
House,S001186,Steve Southerland,D,,Gwen Graham,D,1/31/1963,F,FL,2,H4FL02062
House,Y000065,Ted Yoho,R,Y000065,Ted Yoho,R,4/13/1955,M,FL,3,
House,C001045,Ander Crenshaw,R,C001045,Ander Crenshaw,R,9/1/1944,M,FL,4,
House,B000911,Corrine Brown,D,B000911,Corrine Brown,D,11/11/1946,F,FL,5,
House,D000621,Ron DeSantis,R,D000621,Ron DeSantis,R,9/14/1974,M,FL,6,
House,M000689,John L. Mica,R,M000689,John L. Mica,R,1/27/1943,M,FL,7,
House,P000599,Bill Posey,R,P000599,Bill Posey,R,12/18/1947,M,FL,8,
House,G000556,Alan Grayson,D,G000556,Alan Grayson,D,3/13/1958,M,FL,9,
House,W000806,Daniel Webster,R,W000806,Daniel Webster,R,4/27/1949,M,FL,10,
House,N000185,Richard Nugent,R,N000185,Richard Nugent,R,5/26/1951,M,FL,11,
House,B001257,Gus Bilirakis,R,B001257,Gus Bilirakis,R,2/8/1963,M,FL,12,
House,J000296,David W. Jolly,R,J000296,David W. Jolly,R,10/31/1972,M,FL,13,
House,C001066,Kathy Castor,D,C001066,Kathy Castor,D,8/20/1966,F,FL,14,
House,R000593,Dennis Ross,R,R000593,Dennis Ross,R,10/18/1959,M,FL,15,
House,B001260,Vern Buchanan,R,B001260,Vern Buchanan,R,5/8/1951,M,FL,16,
House,R000583,Tom Rooney,R,R000583,Tom Rooney,R,11/21/1970,M,FL,17,
House,M001191,Patrick Murphy,D,M001191,Patrick Murphy,D,3/30/1983,M,FL,18,
House,C001102,Curt  Clawson,R,C001102,Curt  Clawson,R,9/28/1959,M,FL,19,
House,H000324,Alcee L. Hastings,D,H000324,Alcee L. Hastings,D,9/5/1936,M,FL,20,
House,D000610,Ted Deutch,D,D000610,Ted Deutch,D,5/7/1966,M,FL,21,
House,F000462,Lois Frankel,D,F000462,Lois Frankel,D,5/16/1948,F,FL,22,
House,W000797,Debbie Wasserman Schultz,D,W000797,Debbie Wasserman Schultz,D,9/27/1966,F,FL,23,
House,W000808,Frederica Wilson,D,W000808,Frederica Wilson,D,11/5/1942,F,FL,24,
House,D000600,Mario Diaz-Balart,R,D000600,Mario Diaz-Balart,R,9/25/1961,M,FL,25,
House,G000573,Joe Garcia,R,,Carlos Curbelo,R,3/1/1980,M,FL,26,H4FL26038
House,R000435,Ileana Ros-Lehtinen,R,R000435,Ileana Ros-Lehtinen,R,7/15/1952,F,FL,27,
House,K000220,Jack Kingston,R,,Buddy Carter,R,9/6/1957,M,GA,1,H4GA01039
House,B000490,Sanford D. Bishop Jr.,D,B000490,Sanford D. Bishop Jr.,D,2/4/1947,M,GA,2,
House,W000796,Lynn Westmoreland,R,W000796,Lynn Westmoreland,R,4/2/1950,M,GA,3,
House,J000288,Hank Johnson,D,J000288,Hank Johnson,D,10/2/1954,M,GA,4,
House,L000287,John  Lewis,D,L000287,John  Lewis,D,2/21/1940,M,GA,5,
House,P000591,Tom Price,R,P000591,Tom Price,R,10/8/1954,M,GA,6,
House,W000810,Rob Woodall,R,W000810,Rob Woodall,R,2/11/1970,M,GA,7,
House,S001189,Austin Scott,R,S001189,Austin Scott,R,12/10/1969,M,GA,8,
House,C001093,Doug Collins,R,C001093,Doug Collins,R,8/16/1966,M,GA,9,
House,B001262,Paul Broun,R,,Jody Hice,R,4/22/1960,M,GA,10,H0GA07125
House,G000550,Phil Gingrey,R,,Barry Loudermilk,R,12/22/1963,M,GA,11,H4GA11061
House,B001252,John Barrow,R,,Rick Allen,R,11/7/1951,M,GA,12,H0GA02241
House,S001157,David Scott,D,S001157,David Scott,D,6/27/1946,M,GA,13,
House,G000560,Tom Graves,R,G000560,Tom Graves,R,2/3/1970,M,GA,14,
House,B001245,Madeleine Z. Bordallo,D,B001245,Madeleine Z. Bordallo,D,5/31/1933,F,GU,AL,
House,H001050,Colleen Hanabusa,D,,Mark Takai,D,7/1/1967,M,HI,1,H4HI01134
House,G000571,Tulsi Gabbard,D,G000571,Tulsi Gabbard,D,4/12/1981,F,HI,2,
House,B001259,Bruce Braley,R,,Rod Blum,R,4/26/1955,M,IA,1,H2IA01055
House,L000565,Dave Loebsack,D,L000565,Dave Loebsack,D,12/23/1952,M,IA,2,
House,L000111,Tom Latham,R,,David Young,R,5/11/1968,M,IA,3,"S4IA00103,H4IA03115"
House,K000362,Steve King,R,K000362,Steve King,R,5/28/1949,M,IA,4,
House,L000573,Raul Labrador,R,L000573,Raul Labrador,R,12/8/1967,M,ID,1,
House,S001148,Mike Simpson,R,S001148,Mike Simpson,R,9/8/1950,M,ID,2,
House,R000515,Bobby L. Rush,D,R000515,Bobby L. Rush,D,11/23/1946,M,IL,1,
House,K000385,Robin  Kelly,D,K000385,Robin  Kelly,D,4/30/1956,M,IL,2,
House,L000563,Daniel Lipinski,D,L000563,Daniel Lipinski,D,7/15/1966,M,IL,3,
House,G000535,Luis V. Gutierrez,D,G000535,Luis V. Gutierrez,D,12/10/1953,M,IL,4,
House,Q000023,Mike Quigley,D,Q000023,Mike Quigley,D,10/17/1959,M,IL,5,
House,R000580,Peter Roskam,R,R000580,Peter Roskam,R,9/13/1961,M,IL,6,
House,D000096,Danny K. Davis,D,D000096,Danny K. Davis,D,9/6/1941,M,IL,7,
House,D000622,Tammy Duckworth,D,D000622,Tammy Duckworth,D,3/12/1968,F,IL,8,
House,S001145,Jan Schakowsky,D,S001145,Jan Schakowsky,D,5/26/1944,F,IL,9,
House,S001190,Brad Schneider,R,D000613,Robert Dold,R,6/19/1971,M,IL,10,
House,F000454,Bill Foster,D,F000454,Bill Foster,D,10/7/1955,M,IL,11,
House,E000292,Bill Enyart,R,,Mike Bost,R,12/30/1960,M,IL,12,H4IL12060
House,D000619,Rodney Davis,R,D000619,Rodney Davis,R,1/5/1970,M,IL,13,
House,H001059,Randy Hultgren,R,H001059,Randy Hultgren,R,3/1/1966,M,IL,14,
House,S000364,John Shimkus,R,S000364,John Shimkus,R,2/21/1958,M,IL,15,
House,K000378,Adam Kinzinger,R,K000378,Adam Kinzinger,R,2/27/1978,M,IL,16,
House,B001286,Cheri Bustos,D,B001286,Cheri Bustos,D,10/17/1961,F,IL,17,
House,S001179,Aaron Schock,R,S001179,Aaron Schock,R,5/28/1981,M,IL,18,
House,V000108,Peter J. Visclosky,D,V000108,Peter J. Visclosky,D,8/13/1949,M,IN,1,
House,W000813,Jackie Walorski,R,W000813,Jackie Walorski,R,8/17/1963,F,IN,2,
House,S001188,Marlin Stutzman,R,S001188,Marlin Stutzman,R,8/31/1976,M,IN,3,
House,R000592,Todd Rokita,R,R000592,Todd Rokita,R,2/9/1970,M,IN,4,
House,B001284,Susan Brooks,R,B001284,Susan Brooks,R,8/25/1960,F,IN,5,
House,M001189,Luke Messer,R,M001189,Luke Messer,R,2/27/1969,M,IN,6,
House,C001072,Andrí© Carson,D,C001072,Andre Carson,D,10/16/1974,M,IN,7,
House,B001275,Larry Bucshon,R,B001275,Larry Bucshon,R,5/31/1962,M,IN,8,
House,Y000064,Todd Young,R,Y000064,Todd Young,R,8/24/1972,M,IN,9,
House,H001057,Tim Huelskamp,R,H001057,Tim Huelskamp,R,11/11/1968,M,KS,1,
House,J000290,Lynn Jenkins,R,J000290,Lynn Jenkins,R,6/10/1963,F,KS,2,
House,Y000063,Kevin Yoder,R,Y000063,Kevin Yoder,R,1/8/1976,M,KS,3,
House,P000602,Mike Pompeo,R,P000602,Mike Pompeo,R,12/30/1963,M,KS,4,
House,W000413,Edward Whitfield,R,W000413,Edward Whitfield,R,5/25/1943,M,KY,1,
House,G000558,Brett Guthrie,R,G000558,Brett Guthrie,R,2/18/1964,M,KY,2,
House,Y000062,John Yarmuth,D,Y000062,John Yarmuth,D,11/4/1947,M,KY,3,
House,M001184,Thomas Massie,R,M001184,Thomas Massie,R,1/13/1971,M,KY,4,
House,R000395,Harold Rogers,R,R000395,Harold Rogers,R,12/31/1937,M,KY,5,
House,B001282,Andy Barr,R,B001282,Andy Barr,R,7/24/1973,M,KY,6,
House,S001176,Steve Scalise,R,S001176,Steve Scalise,R,10/6/1965,M,LA,1,
House,R000588,Cedric Richmond,D,R000588,Cedric Richmond,D,9/13/1973,M,LA,2,
House,B001255,Charles Boustany Jr.,R,B001255,Charles Boustany Jr.,R,2/21/1956,M,LA,3,
House,F000456,John Fleming,R,F000456,John Fleming,R,7/5/1951,M,LA,4,
