chamber,class,new,state,full name,party,bioguide,fec,votesmart,wikipedia,ballotpedia,first,middle,last,nickname,gender,birthday
Senate,3,,MO,Roy Blunt,,B000575,,,,,,,,,,
Senate,3,,NC,Richard Burr,,B001135,,,,,,,,,,
Senate,3,,AR,John Boozman,,B001236,,,,,,,,,,
Senate,3,,CO,Michael Bennet,,B001267,,,,,,,,,,
Senate,3,,CT,Richard Blumenthal,,B001277,,,,,,,,,,
Senate,3,,ID,Mike Crapo,,C000880,,,,,,,,,,
Senate,3,Y,IL,Tammy Duckworth,,D000622,,,,,,,,,,
Senate,3,,IA,Chuck Grassley,,G000386,,,,,,,,,,
Senate,3,,ND,John Hoeven,,H001061,,,,,,,,,,
Senate,3,,GA,Johnny Isakson,,I000055,,,,,,,,,,
Senate,3,,WI,Ron Johnson,,J000293,,,,,,,,,,
Senate,3,,VT,Patrick Leahy,,L000174,,,,,,,,,,
Senate,3,,OK,James Lankford,,L000575,,,,,,,,,,
Senate,3,,UT,Mike Lee,,L000577,,,,,,,,,,
Senate,3,,AZ,John McCain,,M000303,,,,,,,,,,
Senate,3,,KS,Jerry Moran,,M000934,,,,,,,,,,
Senate,3,,WA,Patty Murray,,M001111,,,,,,,,,,
Senate,3,,AK,Lisa Murkowski,,M001153,,,,,,,,,,
Senate,3,,OH,Rob Portman,,P000449,,,,,,,,,,
Senate,3,,KY,Rand Paul,,P000603,,,,,,,,,,
Senate,3,,FL,Marco Rubio,,R000595,,,,,,,,,,
Senate,3,,NY,Chuck Schumer,,S000148,,,,,,,,,,
Senate,3,,AL,Richard Shelby,,S000320,,,,,,,,,,
Senate,3,,SC,Tim Scott,,S001184,,,,,,,,,,
Senate,3,,HI,Brian Schatz,,S001194,,,,,,,,,,
Senate,3,,SD,John Thune,,T000250,,,,,,,,,,
Senate,3,,PA,Pat Toomey,,T000461,,,,,,,,,,
Senate,3,Y,MD,Chris Van Hollen,,V000128,,,,,,,,,,
Senate,3,,OR,Ron Wyden,,W000779,,,,,,,,,,
Senate,3,Y,IN,Todd Young,,Y000064,,,,,,,,,,
Senate,3,Y,CA,Kamala Harris,Democrat,H001075,S6CA00584,120012,Kamala Harris,Kamala Harris,Kamala,,Harris,,F,1964-10-20
Senate,3,Y,LA,John Neely Kennedy,Republican,K000393,S4LA00065,35496,John Neely Kennedy,John Neely Kennedy,John,Neely,Kennedy,,M,1951-11-21
Senate,3,Y,NH,Maggie Hassan,Democrat,H001076,S6NH00091,42552,Maggie Hassan,Maggie Hassan,Margaret,Wood,Hassan,Maggie,F,1958-02-27
Senate,3,Y,NV,Catherine Cortez Masto,Democrat,C001113,S6NV00200,69579,Catherine Cortez Masto,Catherine Cortez Masto,Catherine,,Cortez Masto,,F,1964-03-29
