PREFIX,FIRST,MIDDLE,LAST,SUFFIX,ADDRESS,CITY,STATE,POSTAL CODE,113 ST/DIS,BIOGUIDE ID
The Honorable ,Robert,B.,Aderholt,,2369 Rayburn House Office Building,Washington,DC,20515-0104,AL04,A000055
The Honorable ,Rodney,,Alexander,,316 Cannon House Office Building,Washington,DC,20515-1805,LA05,A000361
The Honorable ,Justin,,Amash,,114 Cannon House Office Building,Washington,DC,20515-2203,MI03,A000367
The Honorable ,Mark,E.,Amodei,,222 Cannon House Office Building,Washington,DC,20515-2802,NV02,A000369
The Honorable ,Robert,E.,Andrews,,2265 Rayburn House Office Building,Washington,DC,20515-3001,NJ01,A000210
The Honorable ,Michele,,Bachmann,,2417 Rayburn House Office Building,Washington,DC,20515-2306,MN06,B001256
The Honorable ,Spencer,,Bachus,,2246 Rayburn House Office Building,Washington,DC,20515-0106,AL06,B000013
The Honorable ,Ron,,Barber,,1029 Longworth House Office Building,Washington,DC,20515-0308,AZ02,B001279
The Honorable ,Lou,,Barletta,,115 Cannon House Office Building,Washington,DC,20515-3811,PA11,B001269
Representative-elect,Garland ,Andy,Barr,,1432 Longworth House Office Building,Washington,DC,20515-1706,KY06,B001282
The Honorable ,John,,Barrow,,2202 Rayburn House Office Building,Washington,DC,20515-1012,GA12,B001252
The Honorable ,Joe,,Barton,,2107 Rayburn House Office Building,Washington,DC,20515-4306,TX06,B000213
The Honorable ,Karen,,Bass,,408 Cannon House Office Building,Washington,DC,20515-0533,CA37,B001270
Representative-elect,Joyce,,Beatty,,417 Cannon House Office Building,Washington,DC,20515-6601,OH03,B001281
The Honorable ,Xavier,,Becerra,,1226 Longworth House Office Building,Washington,DC,20515-0531,CA34,B000287
The Honorable ,Dan,,Benishek,,514 Cannon House Office Building,Washington,DC,20515-2201,MI01,B001271
Representative-elect,Kerry,L.,Bentivolio,,226 Cannon House Office Building,Washington,DC,20515-6601,MI11,B001280
Representative-elect,Ami,,Bera,,1408 Longworth House Office Building,Washington,DC,20515-6601,CA07,B001287
The Honorable ,Gus,M.,Bilirakis,,2313 Rayburn House Office Building,Washington,DC,20515-0909,FL12,B001257
The Honorable ,Rob,,Bishop,,123 Cannon House Office Building,Washington,DC,20515-4401,UT01,B001250
The Honorable ,Sanford,D.,Bishop,Jr.,2429 Rayburn House Office Building,Washington,DC,20515-1002,GA02,B000490
The Honorable ,Timothy,H.,Bishop,,306 Cannon House Office Building,Washington,DC,20515-3201,NY01,B001242
The Honorable ,Diane,,Black,,1531 Longworth House Office Building,Washington,DC,20515-4206,TN06,B001273
The Honorable ,Marsha,,Blackburn,,217 Cannon House Office Building,Washington,DC,20515-4207,TN07,B001243
The Honorable ,Earl,,Blumenauer,,1111 Longworth House Office Building,Washington,DC,20515-3703,OR03,B000574
The Honorable ,John,A.,Boehner,,1011 Longworth House Office Building,Washington,DC,20515-3508,OH08,B000589
The Honorable ,Suzanne,,Bonamici,,439 Cannon House Office Building,Washington,DC,20515-3701,OR01,B001278
The Honorable ,Jo,,Bonner,,2236 Rayburn House Office Building,Washington,DC,20515-0101,AL01,B001244
